ID,CODIGO,DESCRIÇÃO DOS SERVIÇOS,QUANTIDADE,PREÇO UNITÁRIO,UNIDADE,PREÇO TOTAL
528675,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
528873,5298-0500-1,PB Classe LFO,"2,70","R$ 85,27",PO,"R$ 230,23"
528873,5298-0584-7,PB Classe CFO,"4,26","R$ 190,65",PO,"R$ 812,17"
547349,5298-0500-1,PB Classe LFO,"18,80","R$ 85,27",PO,"R$ 1.603,08"
547349,5298-0584-7,PB Classe CFO,"7,62","R$ 190,65",PO,"R$ 1.452,75"
532014,5298-0500-1,PB Classe LFO,"19,16","R$ 85,27",PO,"R$ 1.633,77"
532014,5298-0584-7,PB Classe CFO,"5,27","R$ 190,65",PO,"R$ 1.004,73"
551349,5298-0500-1,PB Classe LFO,"22,90","R$ 89,08",PO,"R$ 2.039,93"
551349,5298-0584-7,PB Classe CFO,"3,38","R$ 199,16",PO,"R$ 673,16"
547330,5298-0500-1,PB Classe LFO,"26,03","R$ 85,27",PO,"R$ 2.219,49"
547330,5298-0584-7,PB Classe CFO,"11,46","R$ 190,65",PO,"R$ 2.184,85"
547330,5298-0587-1,PB Classe L,"1,00","R$ 58,89",PO,"R$ 58,89"
547357,5298-0500-1,PB Classe LFO,"4,32","R$ 85,27",PO,"R$ 368,37"
547357,5298-0584-7,PB Classe CFO,"5,15","R$ 190,65",PO,"R$ 981,85"
536377,5298-0500-1,PB Classe LFO,"17,94","R$ 85,27",PO,"R$ 1.529,74"
536377,5298-0584-7,PB Classe CFO,"10,13","R$ 190,65",PO,"R$ 1.931,28"
536377,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
545895,5298-0500-1,PB Classe LFO,"10,30","R$ 85,27",PO,"R$ 878,28"
545895,5298-0584-7,PB Classe CFO,"9,27","R$ 190,65",PO,"R$ 1.767,33"
546153,5298-0500-1,PB Classe LFO,"52,96","R$ 85,27",PO,"R$ 4.516,07"
546153,5298-0584-7,PB Classe CFO,"5,27","R$ 190,65",PO,"R$ 1.004,73"
547362,5298-0500-1,PB Classe LFO,"3,50","R$ 85,27",PO,"R$ 298,44"
547362,5298-0584-7,PB Classe CFO,"4,47","R$ 190,65",PO,"R$ 852,21"
547323,5298-0500-1,PB Classe LFO,"23,30","R$ 85,27",PO,"R$ 1.986,79"
547323,5298-0584-7,PB Classe CFO,"6,26","R$ 190,65",PO,"R$ 1.193,47"
547323,5298-0587-1,PB Classe L,"3,00","R$ 58,89",PO,"R$ 176,67"
547347,5298-0500-1,PB Classe LFO,"34,20","R$ 85,27",PO,"R$ 2.916,23"
547347,5298-0584-7,PB Classe CFO,"9,29","R$ 190,65",PO,"R$ 1.771,14"
547347,5298-0587-1,PB Classe L,"7,05","R$ 58,89",PO,"R$ 415,17"
547347,5298-0589-8,PB Classe P,"4,13","R$ 74,21",PP,"R$ 306,12"
549738,5298-0500-1,PB Classe LFO,"20,00","R$ 85,27",PO,"R$ 1.705,40"
549738,5298-0584-7,PB Classe CFO,"0,41","R$ 190,65",PO,"R$ 78,17"
554692,5298-0500-1,PB Classe LFO,"31,82","R$ 89,08",PO,"R$ 2.834,53"
554692,5298-0584-7,PB Classe CFO,"21,23","R$ 199,16",PO,"R$ 4.228,17"
554692,5298-0587-1,PB Classe L,"21,60","R$ 61,52",PO,"R$ 1.328,83"
554832,5298-0500-1,PB Classe LFO,"1,80","R$ 89,08",PO,"R$ 160,34"
554832,5298-0584-7,PB Classe CFO,"2,56","R$ 199,16",PO,"R$ 509,85"
527714,5298-0500-1,PB Classe LFO,"11,59","R$ 85,27",PO,"R$ 988,28"
527714,5298-0584-7,PB Classe CFO,"10,25","R$ 190,65",PO,"R$ 1.954,16"
527714,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
551283,5298-0500-1,PB Classe LFO,"24,02","R$ 89,08",PO,"R$ 2.139,70"
551283,5298-0584-7,PB Classe CFO,"3,05","R$ 199,16",PO,"R$ 607,44"
563488,5298-0500-1,PB Classe LFO,"46,81","R$ 89,08",PO,"R$ 4.170,01"
563488,5298-0584-7,PB Classe CFO,"16,07","R$ 199,16",PO,"R$ 3.200,50"
554826,5298-0500-1,PB Classe LFO,"42,74","R$ 89,08",PO,"R$ 3.807,28"
554826,5298-0584-7,PB Classe CFO,"7,91","R$ 199,16",PO,"R$ 1.575,36"
554826,5298-0587-1,PB Classe L,"1,50","R$ 61,52",PO,"R$ 92,28"
554827,5298-0500-1,PB Classe LFO,"2,34","R$ 89,08",PO,"R$ 208,45"
554827,5298-0584-7,PB Classe CFO,"4,08","R$ 199,16",PO,"R$ 812,57"
559516,5298-0500-1,PB Classe LFO,"108,91","R$ 89,08",PO,"R$ 9.701,70"
559516,5298-0584-7,PB Classe CFO,"19,94","R$ 199,16",PO,"R$ 3.971,25"
559516,5298-0585-5,PB Classe G,"65,92","R$ 74,52",PO,"R$ 4.912,73"
559516,5298-0587-1,PB Classe L,"111,00","R$ 61,52",PO,"R$ 6.828,72"
558522,5298-0500-1,PB Classe LFO,"51,20","R$ 89,08",PO,"R$ 4.560,90"
558522,5298-0584-7,PB Classe CFO,"5,60","R$ 199,16",PO,"R$ 1.115,30"
536380,5298-0500-1,PB Classe LFO,"21,54","R$ 85,27",PO,"R$ 1.836,72"
536380,5298-0584-7,PB Classe CFO,"8,11","R$ 190,65",PO,"R$ 1.546,17"
536380,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
531499,5298-0500-1,PB Classe LFO,"8,40","R$ 85,27",PO,"R$ 716,27"
531499,5298-0584-7,PB Classe CFO,"10,13","R$ 190,65",PO,"R$ 1.931,28"
531499,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
531446,5298-0500-1,PB Classe LFO,"19,20","R$ 85,27",PO,"R$ 1.637,18"
531446,5298-0584-7,PB Classe CFO,"10,13","R$ 190,65",PO,"R$ 1.931,28"
531446,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
547304,5298-0500-1,PB Classe LFO,"42,02","R$ 85,27",PO,"R$ 3.583,39"
547304,5298-0584-7,PB Classe CFO,"4,62","R$ 190,65",PO,"R$ 880,80"
547317,5298-0500-1,PB Classe LFO,"29,60","R$ 85,27",PO,"R$ 2.523,99"
547317,5298-0584-7,PB Classe CFO,"11,39","R$ 190,65",PO,"R$ 2.171,50"
547317,5298-0587-1,PB Classe L,"3,00","R$ 58,89",PO,"R$ 176,67"
569469,5298-0500-1,PB Classe LFO,"15,70","R$ 108,55",PO,"R$ 1.704,24"
569469,5298-0584-7,PB Classe CFO,"7,75","R$ 266,63",PO,"R$ 2.066,38"
569469,5298-0587-1,PB Classe L,"48,40","R$ 76,86",PO,"R$ 3.720,02"
564764,5298-0500-1,PB Classe LFO,"114,72","R$ 89,08",PO,"R$ 10.219,26"
564764,5298-0584-7,PB Classe CFO,"14,36","R$ 199,16",PO,"R$ 2.859,94"
564764,5298-0587-1,PB Classe L,"68,40","R$ 61,52",PO,"R$ 4.207,97"
550899,5298-0500-1,PB Classe LFO,"19,03","R$ 89,08",PO,"R$ 1.695,19"
